transaction_id,timestamp,amount_sar,payment_method,machine_id,cycle_type,counterparty_raw
TXN-20250402-0060,2025-04-02 20:31:46,36.32,mada,M05,standard,STC INVOICE 88120
TXN-20250402-0061,2025-04-02 21:26:53,23.46,mada,M08,quick_wash,NWC WATER AUTHORITY 6621
TXN-20250402-0062,2025-04-02 21:47:54,33.1,mada,M04,standard,شركة المنظفات الوطنية
TXN-20250402-0063,2025-04-02 21:53:53,58.0,cash,M03,heavy_duty,PACKAGING SUPPLIES CO 118
TXN-20250402-0064,2025-04-02 22:29:29,35.74,mada,M04,standard,STC INVOICE 88120
TXN-20250402-0065,2025-04-02 22:33:27,24.08,mada,M08,quick_wash,شركة المنظفات الوطنية
TXN-20250402-0066,2025-04-02 22:38:25,29.32,cash,M02,standard,شركة المنظفات الوطنية
TXN-20250402-0067,2025-04-02 22:45:00,32.59,cash,M07,standard,مؤسسة الإيجار العقارية
TXN-20250402-0068,2025-04-02 22:48:10,54.82,mada,M08,heavy_duty,SEC ELECTRICITY BILL 41220
TXN-20250402-0069,2025-04-02 22:53:02,38.84,cash,M02,standard,HENKEL DETERGENTS SUPPLY 3312
TXN-20250402-0070,2025-04-02 23:20:25,49.36,mada,M03,heavy_duty,HENKEL DETERGENTS SUPPLY 3312
TXN-20250402-0071,2025-04-02 23:49:11,63.36,credit,M07,heavy_duty,GAZT ZATCA VAT PAYMENT
TXN-20250402-0072,2025-04-02 23:54:55,17.36,mada,M04,quick_wash,شركة المنظفات الوطنية
TXN-20250403-0001,2025-04-03 00:01:02,20.9,mada,M04,quick_wash,مؤسسة الإيجار العقارية
TXN-20250403-0002,2025-04-03 02:36:43,64.05,cash,M01,heavy_duty,شركة المنظفات الوطنية
TXN-20250403-0003,2025-04-03 02:38:08,27.78,mada,M08,standard,شركة المنظفات الوطنية
TXN-20250403-0004,2025-04-03 05:32:57,55.97,cash,M05,heavy_duty,SEC ELECTRICITY BILL 41220
TXN-20250403-0005,2025-04-03 06:10:35,37.74,mada,M01,standard,SADAD BILL PAYMENT 5521099
TXN-20250403-0006,2025-04-03 06:21:20,35.4,mada,M02,standard,HENKEL DETERGENTS SUPPLY 3312
TXN-20250403-0007,2025-04-03 06:33:54,22.06,credit,M07,quick_wash,شركة المنظفات الوطنية
TXN-20250403-0008,2025-04-03 07:00:46,32.1,mada,M07,standard,
TXN-20250403-0009,2025-04-03 07:26:39,29.46,credit,M02,standard,STC INVOICE 88120
TXN-20250403-0010,2025-04-03 07:40:37,36.93,cash,M04,standard,STC INVOICE 88120
TXN-20250403-0011,2025-04-03 08:22:36,47.98,cash,M01,heavy_duty,POS PURCHASE 2214 AL MALAZ
TXN-20250403-0012,2025-04-03 08:29:55,30.47,mada,M05,standard,STC INVOICE 88120
TXN-20250403-0013,2025-04-03 08:35:46,21.96,mada,M07,quick_wash,
TXN-20250403-0014,2025-04-03 08:42:33,33.59,cash,M04,standard,STC INVOICE 88120
TXN-20250403-0015,2025-04-03 08:43:50,47.97,cash,M08,heavy_duty,SEC ELECTRICITY BILL 41220
TXN-20250403-0016,2025-04-03 08:48:58,38.15,mada,M03,standard,مؤسسة الإيجار العقارية
TXN-20250403-0017,2025-04-03 08:57:28,40.53,credit,M05,heavy_duty,HENKEL DETERGENTS SUPPLY 3312
TXN-20250403-0018,2025-04-03 08:57:45,38.99,mada,M06,standard,POS PURCHASE 2214 AL MALAZ
TXN-20250403-0019,2025-04-03 09:01:59,36.51,mada,M05,standard,HENKEL DETERGENTS SUPPLY 3312
TXN-20250403-0020,2025-04-03 09:11:22,33.71,mada,M01,standard,NWC WATER AUTHORITY 6621
TXN-20250403-0021,2025-04-03 09:34:51,50.44,mada,M05,heavy_duty,POS PURCHASE 2214 AL MALAZ
TXN-20250403-0022,2025-04-03 09:36:24,40.08,mada,M08,heavy_duty,NWC WATER AUTHORITY 6621
TXN-20250403-0023,2025-04-03 09:41:24,17.96,mada,M01,quick_wash,شركة المنظفات الوطنية
TXN-20250403-0024,2025-04-03 09:42:45,24.1,mada,M07,quick_wash,STC INVOICE 88120
TXN-20250403-0025,2025-04-03 09:43:23,35.19,mada,M02,standard,شركة المنظفات الوطنية
TXN-20250403-0026,2025-04-03 09:46:23,46.47,mada,M07,heavy_duty,HENKEL DETERGENTS SUPPLY 3312
TXN-20250403-0027,2025-04-03 09:52:41,63.62,mada,M05,heavy_duty,شركة المنظفات الوطنية
TXN-20250403-0028,2025-04-03 09:53:21,102.03,mada,M08,dry_clean,مؤسسة الإيجار العقارية
TXN-20250403-0029,2025-04-03 09:58:45,95.48,cash,M05,dry_clean,GAZT ZATCA VAT PAYMENT
TXN-20250403-0030,2025-04-03 10:08:25,15.47,mada,M01,quick_wash,POS PURCHASE 2214 AL MALAZ
TXN-20250403-0031,2025-04-03 10:50:25,22.8,mada,M05,quick_wash,POS PURCHASE 2214 AL MALAZ
TXN-20250403-0032,2025-04-03 10:58:44,28.24,mada,M04,standard,STC INVOICE 88120
TXN-20250403-0033,2025-04-03 11:38:34,62.17,mada,M02,dry_clean,HENKEL DETERGENTS SUPPLY 3312
TXN-20250403-0034,2025-04-03 12:00:24,39.95,credit,M03,standard,
TXN-20250403-0035,2025-04-03 12:04:19,17.24,mada,M01,quick_wash,SEC ELECTRICITY BILL 41220
TXN-20250403-0036,2025-04-03 12:08:33,61.5,mada,M08,heavy_duty,STC INVOICE 88120
TXN-20250403-0037,2025-04-03 12:11:19,16.3,credit,M01,quick_wash,STC INVOICE 88120
TXN-20250403-0038,2025-04-03 12:13:08,40.89,mada,M01,heavy_duty,NWC WATER AUTHORITY 6621
TXN-20250403-0039,2025-04-03 12:16:25,26.3,mada,M07,standard,HENKEL DETERGENTS SUPPLY 3312
TXN-20250403-0040,2025-04-03 12:17:01,21.96,mada,M02,quick_wash,STC INVOICE 88120
TXN-20250403-0041,2025-04-03 12:22:54,17.2,cash,M05,quick_wash,شركة المنظفات الوطنية
TXN-20250403-0042,2025-04-03 12:52:35,54.31,credit,M06,dry_clean,HENKEL DETERGENTS SUPPLY 3312
TXN-20250403-0043,2025-04-03 12:52:43,37.37,mada,M02,standard,
TXN-20250403-0044,2025-04-03 13:09:44,37.97,cash,M08,standard,
TXN-20250403-0045,2025-04-03 13:10:39,56.46,credit,M03,heavy_duty,SADAD BILL PAYMENT 5521099
TXN-20250403-0046,2025-04-03 13:16:09,18.34,mada,M05,quick_wash,STC INVOICE 88120
TXN-20250403-0047,2025-04-03 13:16:49,34.28,cash,M07,standard,NWC WATER AUTHORITY 6621
TXN-20250403-0048,2025-04-03 13:26:56,64.03,mada,M07,heavy_duty,شركة المنظفات الوطنية
TXN-20250403-0049,2025-04-03 13:44:33,43.22,mada,M06,heavy_duty,STC INVOICE 88120
TXN-20250403-0050,2025-04-03 13:44:56,50.08,mada,M05,dry_clean,NWC WATER AUTHORITY 6621
TXN-20250403-0051,2025-04-03 13:57:21,25.1,mada,M06,standard,SEC ELECTRICITY BILL 41220
TXN-20250403-0052,2025-04-03 14:17:20,33.4,mada,M02,standard,SPARE PARTS TRADING 902
TXN-20250403-0053,2025-04-03 14:18:35,33.1,cash,M06,standard,
TXN-20250403-0054,2025-04-03 14:22:31,15.18,mada,M02,quick_wash,HENKEL DETERGENTS SUPPLY 3312
TXN-20250403-0055,2025-04-03 14:52:06,34.49,credit,M05,standard,SADAD BILL PAYMENT 5521099
TXN-20250403-0056,2025-04-03 15:04:36,44.34,cash,M04,heavy_duty,شركة المنظفات الوطنية
TXN-20250403-0057,2025-04-03 15:20:27,35.62,mada,M02,standard,SEC ELECTRICITY BILL 41220
TXN-20250403-0058,2025-04-03 15:30:05,25.87,mada,M02,standard,SEC ELECTRICITY BILL 41220
TXN-20250403-0059,2025-04-03 16:28:59,64.34,credit,M04,heavy_duty,NWC WATER AUTHORITY 6621
TXN-20250403-0060,2025-04-03 16:39:01,33.92,mada,M05,standard,GAZT ZATCA VAT PAYMENT
TXN-20250403-0061,2025-04-03 16:41:35,18.24,mada,M03,quick_wash,HENKEL DETERGENTS SUPPLY 3312
TXN-20250403-0062,2025-04-03 17:28:20,15.01,mada,M02,quick_wash,شركة المنظفات الوطنية
TXN-20250403-0063,2025-04-03 17:34:53,79.83,mada,M07,dry_clean,HENKEL DETERGENTS SUPPLY 3312
TXN-20250403-0064,2025-04-03 17:42:16,37.39,mada,M08,standard,SADAD BILL PAYMENT 5521099
TXN-20250403-0065,2025-04-03 17:44:24,21.8,cash,M03,quick_wash,GAZT ZATCA VAT PAYMENT
TXN-20250403-0066,2025-04-03 18:01:52,64.08,mada,M05,heavy_duty,SADAD BILL PAYMENT 5521099
TXN-20250403-0067,2025-04-03 18:04:55,79.38,cash,M06,dry_clean,PACKAGING SUPPLIES CO 118
TXN-20250403-0068,2025-04-03 18:38:39,51.06,mada,M02,heavy_duty,
TXN-20250403-0069,2025-04-03 18:42:39,45.75,mada,M08,heavy_duty,STC INVOICE 88120
TXN-20250403-0070,2025-04-03 18:53:21,57.87,mada,M04,heavy_duty,PACKAGING SUPPLIES CO 118
TXN-20250403-0071,2025-04-03 19:19:18,39.52,mada,M01,standard,شركة المنظفات الوطنية
TXN-20250403-0072,2025-04-03 19:33:11,16.54,mada,M02,quick_wash,SEC ELECTRICITY BILL 41220
TXN-20250403-0073,2025-04-03 19:33:16,55.66,mada,M05,heavy_duty,SADAD BILL PAYMENT 5521099
TXN-20250403-0074,2025-04-03 19:34:51,117.73,mada,M07,dry_clean,NWC WATER AUTHORITY 6621
TXN-20250403-0075,2025-04-03 20:08:08,26.76,mada,M04,standard,شركة المنظفات الوطنية
TXN-20250403-0076,2025-04-03 20:10:41,20.58,mada,M04,quick_wash,GAZT ZATCA VAT PAYMENT
TXN-20250403-0077,2025-04-03 20:18:47,20.82,mada,M08,quick_wash,SADAD BILL PAYMENT 5521099
TXN-20250403-0078,2025-04-03 20:39:16,39.77,mada,M05,standard,HENKEL DETERGENTS SUPPLY 3312
TXN-20250403-0079,2025-04-03 20:53:42,18.92,mada,M07,quick_wash,HENKEL DETERGENTS SUPPLY 3312
TXN-20250403-0080,2025-04-03 21:02:49,56.42,cash,M04,heavy_duty,شركة المنظفات الوطنية
TXN-20250403-0081,2025-04-03 21:22:20,40.99,mada,M08,heavy_duty,HENKEL DETERGENTS SUPPLY 3312
TXN-20250403-0082,2025-04-03 21:37:29,16.03,mada,M07,quick_wash,مؤسسة الإيجار العقارية
TXN-20250403-0083,2025-04-03 21:37:57,34.27,cash,M02,standard,HENKEL DETERGENTS SUPPLY 3312
TXN-20250403-0084,2025-04-03 21:50:16,63.53,mada,M01,heavy_duty,HENKEL DETERGENTS SUPPLY 3312
TXN-20250403-0085,2025-04-03 22:00:50,18.51,mada,M04,quick_wash,SADAD BILL PAYMENT 5521099
TXN-20250403-0086,2025-04-03 22:03:25,29.83,credit,M02,standard,PACKAGING SUPPLIES CO 118
TXN-20250403-0087,2025-04-03 23:10:05,37.01,mada,M07,standard,
TXN-20250404-0001,2025-04-04 06:27:46,24.27,mada,M05,quick_wash,STC INVOICE 88120
TXN-20250404-0002,2025-04-04 06:29:49,27.92,mada,M04,standard,HENKEL DETERGENTS SUPPLY 3312
TXN-20250404-0003,2025-04-04 06:54:15,17.85,mada,M07,quick_wash,HENKEL DETERGENTS SUPPLY 3312
TXN-20250404-0004,2025-04-04 07:11:04,33.71,mada,M06,standard,مؤسسة الإيجار العقارية
TXN-20250404-0005,2025-04-04 07:13:52,46.82,mada,M01,heavy_duty,SADAD BILL PAYMENT 5521099
TXN-20250404-0006,2025-04-04 07:24:49,26.85,credit,M07,standard,MADA PURCHASE HANGERS 55
TXN-20250404-0007,2025-04-04 07:28:56,35.64,mada,M02,standard,SEC ELECTRICITY BILL 41220
TXN-20250404-0008,2025-04-04 07:42:09,24.18,mada,M06,quick_wash,شركة المنظفات الوطنية
TXN-20250404-0009,2025-04-04 07:43:58,53.76,mada,M02,heavy_duty,HENKEL DETERGENTS SUPPLY 3312
TXN-20250404-0010,2025-04-04 07:52:58,15.03,cash,M05,quick_wash,HENKEL DETERGENTS SUPPLY 3312
TXN-20250404-0011,2025-04-04 08:12:40,45.7,mada,M02,heavy_duty,SEC ELECTRICITY BILL 41220
TXN-20250404-0012,2025-04-04 08:25:10,18.61,credit,M08,quick_wash,
TXN-20250404-0013,2025-04-04 08:36:48,28.55,cash,M02,standard,HENKEL DETERGENTS SUPPLY 3312
TXN-20250404-0014,2025-04-04 08:47:01,61.28,cash,M01,heavy_duty,SADAD BILL PAYMENT 5521099
TXN-20250404-0015,2025-04-04 08:55:46,21.24,mada,M02,quick_wash,POS PURCHASE 2214 AL MALAZ
TXN-20250404-0016,2025-04-04 09:00:23,17.35,credit,M01,quick_wash,SADAD BILL PAYMENT 5521099
TXN-20250404-0017,2025-04-04 09:00:54,15.96,mada,M07,quick_wash,GAZT ZATCA VAT PAYMENT
TXN-20250404-0018,2025-04-04 09:14:00,17.06,cash,M01,quick_wash,HENKEL DETERGENTS SUPPLY 3312
TXN-20250404-0019,2025-04-04 09:22:42,33.92,mada,M02,standard,STC INVOICE 88120
TXN-20250404-0020,2025-04-04 09:22:43,20.97,cash,M02,quick_wash,SPARE PARTS TRADING 902
