transaction_id,timestamp,amount_sar,payment_method,basket_size,category,counterparty_raw
MINI-20250401-0192,2025-04-01 20:53:38,23.21,mada,small_basket,household,
MINI-20250401-0193,2025-04-01 20:56:47,26.53,mada,small_basket,groceries,COCA COLA BOTTLING RIYADH 771
MINI-20250401-0194,2025-04-01 21:05:31,21.22,cash,small_basket,household,PANDA RETAIL WHOLESALE 5521
MINI-20250401-0195,2025-04-01 21:16:19,60.47,mada,medium_basket,beverages,COCA COLA BOTTLING RIYADH 771
MINI-20250401-0196,2025-04-01 21:27:32,359.39,mada,large_basket,groceries,ALMARAI DISTRIBUTION 8832
MINI-20250401-0197,2025-04-01 21:30:05,164.92,cash,medium_basket,groceries,SEC ELECTRICITY BILL 22190
MINI-20250401-0198,2025-04-01 21:31:41,35.59,mada,small_basket,household,CLEANING SUPPLIES CO 902
MINI-20250401-0199,2025-04-01 21:32:02,167.54,mada,medium_basket,beverages,ALMARAI DISTRIBUTION 8832
MINI-20250401-0200,2025-04-01 21:36:38,37.78,mada,small_basket,household,SADAD BILL PAYMENT 33120
MINI-20250401-0201,2025-04-01 21:39:29,40.1,credit,small_basket,beverages,COCA COLA BOTTLING RIYADH 771
MINI-20250401-0202,2025-04-01 21:46:51,30.81,credit,small_basket,beverages,PANDA RETAIL WHOLESALE 5521
MINI-20250401-0203,2025-04-01 21:46:57,28.91,mada,small_basket,personal_care,ALMARAI DISTRIBUTION 8832
MINI-20250401-0204,2025-04-01 21:49:08,42.21,cash,small_basket,groceries,NADEC FOODS SUPPLY 2214
MINI-20250401-0205,2025-04-01 21:49:50,27.16,mada,small_basket,household,POS PURCHASE 8891 AL NASEEM
MINI-20250401-0206,2025-04-01 21:56:25,88.03,cash,medium_basket,groceries,PANDA RETAIL WHOLESALE 5521
MINI-20250401-0207,2025-04-01 21:56:29,198.08,mada,large_basket,snacks,ALMARAI DISTRIBUTION 8832
MINI-20250401-0208,2025-04-01 22:10:36,40.77,mada,small_basket,groceries,STC INVOICE 66120
MINI-20250401-0209,2025-04-01 22:31:35,43.97,mada,small_basket,household,POS PURCHASE 8891 AL NASEEM
MINI-20250401-0210,2025-04-01 22:34:09,39.85,mada,small_basket,groceries,NADEC FOODS SUPPLY 2214
MINI-20250401-0211,2025-04-01 22:41:22,124.48,mada,medium_basket,groceries,CLEANING SUPPLIES CO 902
MINI-20250401-0212,2025-04-01 22:58:14,212.89,mada,large_basket,groceries,
MINI-20250401-0213,2025-04-01 23:57:45,39.72,cash,small_basket,groceries,CLEANING SUPPLIES CO 902
MINI-20250402-0001,2025-04-02 00:10:24,300.02,mada,large_basket,household,ALMARAI DISTRIBUTION 8832
MINI-20250402-0002,2025-04-02 00:12:10,121.73,mada,medium_basket,beverages,SADAD BILL PAYMENT 33120
MINI-20250402-0003,2025-04-02 00:52:21,324.28,mada,large_basket,household,PANDA RETAIL WHOLESALE 5521
MINI-20250402-0004,2025-04-02 00:58:59,18.74,mada,small_basket,household,ALMARAI DISTRIBUTION 8832
MINI-20250402-0005,2025-04-02 01:27:22,147.52,mada,medium_basket,groceries,مؤسسة العقار للإيجار
MINI-20250402-0006,2025-04-02 01:34:11,41.01,mada,small_basket,beverages,NADEC FOODS SUPPLY 2214
MINI-20250402-0007,2025-04-02 01:53:39,15.93,mada,small_basket,snacks,ALMARAI DISTRIBUTION 8832
MINI-20250402-0008,2025-04-02 02:09:02,13.47,mada,small_basket,beverages,STC INVOICE 66120
MINI-20250402-0009,2025-04-02 04:17:16,245.28,cash,large_basket,household,ALMARAI DISTRIBUTION 8832
MINI-20250402-0010,2025-04-02 06:19:24,80.92,mada,medium_basket,groceries,
MINI-20250402-0011,2025-04-02 06:27:17,13.07,credit,small_basket,beverages,PANDA RETAIL WHOLESALE 5521
MINI-20250402-0012,2025-04-02 06:27:45,128.22,mada,medium_basket,beverages,شركة أغذية الطازج للتوزيع
MINI-20250402-0013,2025-04-02 06:41:30,43.86,mada,small_basket,groceries,ALMARAI DISTRIBUTION 8832
MINI-20250402-0014,2025-04-02 06:59:57,58.52,cash,medium_basket,snacks,SADAD BILL PAYMENT 33120
MINI-20250402-0015,2025-04-02 07:00:41,295.5,cash,large_basket,groceries,PANDA RETAIL WHOLESALE 5521
MINI-20250402-0016,2025-04-02 07:08:42,38.38,cash,small_basket,snacks,SEC ELECTRICITY BILL 22190
MINI-20250402-0017,2025-04-02 07:17:06,273.77,mada,large_basket,beverages,مؤسسة العقار للإيجار
MINI-20250402-0018,2025-04-02 07:24:45,45.67,cash,medium_basket,groceries,شركة أغذية الطازج للتوزيع
MINI-20250402-0019,2025-04-02 07:29:22,11.04,cash,small_basket,groceries,GAZT ZATCA VAT PAYMENT
MINI-20250402-0020,2025-04-02 07:45:16,43.43,mada,small_basket,household,PANDA RETAIL WHOLESALE 5521
MINI-20250402-0021,2025-04-02 07:45:26,162.31,mada,medium_basket,groceries,NADEC FOODS SUPPLY 2214
MINI-20250402-0022,2025-04-02 07:48:18,277.84,mada,large_basket,snacks,شركة أغذية الطازج للتوزيع
MINI-20250402-0023,2025-04-02 07:50:52,27.56,cash,small_basket,household,ALMARAI DISTRIBUTION 8832
MINI-20250402-0024,2025-04-02 07:52:44,15.49,cash,small_basket,beverages,مؤسسة العقار للإيجار
MINI-20250402-0025,2025-04-02 08:00:09,99.31,cash,medium_basket,groceries,CLEANING SUPPLIES CO 902
MINI-20250402-0026,2025-04-02 08:08:34,44.89,mada,small_basket,snacks,شركة أغذية الطازج للتوزيع
MINI-20250402-0027,2025-04-02 08:09:52,372.96,cash,large_basket,groceries,NADEC FOODS SUPPLY 2214
MINI-20250402-0028,2025-04-02 08:13:58,149.28,cash,medium_basket,groceries,ALMARAI DISTRIBUTION 8832
MINI-20250402-0029,2025-04-02 08:18:51,119.28,cash,medium_basket,personal_care,NADEC FOODS SUPPLY 2214
MINI-20250402-0030,2025-04-02 08:23:31,64.08,mada,medium_basket,groceries,ALMARAI DISTRIBUTION 8832
MINI-20250402-0031,2025-04-02 08:30:36,24.16,mada,small_basket,groceries,SEC ELECTRICITY BILL 22190
