transaction_id,timestamp,amount_sar,payment_method,machine_id,cycle_type
TXN-20250601-0026,2025-06-01 12:08:07,58.69,credit,M05,heavy_duty
TXN-20250601-0027,2025-06-01 12:08:36,39.5,credit,M01,standard
TXN-20250601-0028,2025-06-01 12:13:38,18.06,mada,M01,quick_wash
TXN-20250601-0029,2025-06-01 12:31:32,27.54,mada,M07,standard
TXN-20250601-0030,2025-06-01 12:38:48,63.25,mada,M02,heavy_duty
TXN-20250601-0031,2025-06-01 12:50:21,39.85,mada,M03,standard
TXN-20250601-0032,2025-06-01 12:57:54,18.23,cash,M01,quick_wash
TXN-20250601-0033,2025-06-01 13:00:56,48.99,mada,M07,heavy_duty
TXN-20250601-0034,2025-06-01 13:03:29,28.84,cash,M04,standard
TXN-20250601-0035,2025-06-01 13:07:26,32.52,cash,M01,standard
TXN-20250601-0036,2025-06-01 13:14:42,18.97,mada,M03,quick_wash
TXN-20250601-0037,2025-06-01 13:22:36,30.63,mada,M07,standard
TXN-20250601-0038,2025-06-01 13:27:06,29.92,mada,M06,standard
TXN-20250601-0039,2025-06-01 13:41:38,20.91,mada,M04,quick_wash
TXN-20250601-0040,2025-06-01 14:25:54,18.03,mada,M05,quick_wash
TXN-20250601-0041,2025-06-01 14:31:31,36.55,mada,M05,standard
TXN-20250601-0042,2025-06-01 15:06:58,37.63,mada,M06,standard
TXN-20250601-0043,2025-06-01 15:51:11,34.56,cash,M05,standard
TXN-20250601-0044,2025-06-01 15:51:12,100.02,mada,M08,dry_clean
TXN-20250601-0045,2025-06-01 15:58:53,19.39,mada,M05,quick_wash
TXN-20250601-0046,2025-06-01 16:38:01,15.81,mada,M04,quick_wash
TXN-20250601-0047,2025-06-01 16:58:04,27.6,mada,M02,standard
TXN-20250601-0048,2025-06-01 17:00:34,15.94,mada,M05,quick_wash
TXN-20250601-0049,2025-06-01 17:27:43,24.55,cash,M07,quick_wash
TXN-20250601-0050,2025-06-01 17:32:47,35.95,mada,M02,standard
TXN-20250601-0051,2025-06-01 17:36:46,36.37,mada,M06,standard
TXN-20250601-0052,2025-06-01 17:36:48,15.94,mada,M06,quick_wash
TXN-20250601-0053,2025-06-01 17:50:31,51.85,mada,M08,heavy_duty
TXN-20250601-0054,2025-06-01 18:05:27,48.66,mada,M05,heavy_duty
TXN-20250601-0055,2025-06-01 18:23:36,34.24,cash,M02,standard
TXN-20250601-0056,2025-06-01 18:31:05,15.15,credit,M08,quick_wash
TXN-20250601-0057,2025-06-01 18:38:44,56.47,mada,M08,heavy_duty
TXN-20250601-0058,2025-06-01 19:34:32,116.1,credit,M08,dry_clean
TXN-20250601-0059,2025-06-01 19:38:32,90.28,mada,M04,dry_clean
TXN-20250601-0060,2025-06-01 19:41:43,23.11,cash,M04,quick_wash
TXN-20250601-0061,2025-06-01 19:48:57,39.42,credit,M04,standard
TXN-20250601-0062,2025-06-01 20:36:22,17.15,mada,M05,quick_wash
TXN-20250601-0063,2025-06-01 20:38:05,21.83,mada,M08,quick_wash
TXN-20250601-0064,2025-06-01 20:43:19,35.22,mada,M03,standard
TXN-20250601-0065,2025-06-01 20:51:48,16.18,cash,M05,quick_wash
TXN-20250601-0066,2025-06-01 21:12:31,52.74,mada,M05,dry_clean
TXN-20250601-0067,2025-06-01 21:32:50,16.77,cash,M08,quick_wash
TXN-20250601-0068,2025-06-01 21:34:43,35.97,mada,M01,standard
TXN-20250601-0069,2025-06-01 22:02:48,48.52,credit,M05,heavy_duty
TXN-20250601-0070,2025-06-01 22:14:14,21.8,cash,M03,quick_wash
TXN-20250601-0071,2025-06-01 22:23:40,24.03,mada,M08,quick_wash
TXN-20250601-0072,2025-06-01 22:51:31,29.46,mada,M04,standard
TXN-20250601-0073,2025-06-01 23:26:34,24.05,mada,M07,quick_wash
TXN-20250602-0001,2025-06-02 01:31:46,24.54,cash,M06,quick_wash
TXN-20250602-0002,2025-06-02 02:52:22,58.92,mada,M07,heavy_duty
TXN-20250602-0003,2025-06-02 07:01:09,21.72,mada,M06,quick_wash
TXN-20250602-0004,2025-06-02 07:20:25,47.69,cash,M04,heavy_duty
TXN-20250602-0005,2025-06-02 07:25:07,38.15,mada,M08,standard
TXN-20250602-0006,2025-06-02 07:26:53,31.31,cash,M06,standard
TXN-20250602-0007,2025-06-02 07:36:09,45.32,mada,M04,heavy_duty
TXN-20250602-0008,2025-06-02 07:49:27,92.57,cash,M07,dry_clean
TXN-20250602-0009,2025-06-02 07:53:02,38.56,mada,M06,standard
TXN-20250602-0010,2025-06-02 08:07:37,38.66,mada,M02,standard
TXN-20250602-0011,2025-06-02 08:11:23,63.74,mada,M08,heavy_duty
TXN-20250602-0012,2025-06-02 08:16:08,59.22,mada,M05,heavy_duty
TXN-20250602-0013,2025-06-02 08:24:21,84.48,mada,M03,dry_clean
TXN-20250602-0014,2025-06-02 08:27:35,30.12,mada,M07,standard
TXN-20250602-0015,2025-06-02 08:30:00,16.52,mada,M08,quick_wash
TXN-20250602-0016,2025-06-02 08:32:53,21.97,mada,M08,quick_wash
TXN-20250602-0017,2025-06-02 08:58:26,35.01,mada,M02,standard
TXN-20250602-0018,2025-06-02 09:30:04,23.22,mada,M02,quick_wash
TXN-20250602-0019,2025-06-02 10:05:27,15.89,mada,M01,quick_wash
TXN-20250602-0020,2025-06-02 11:34:18,38.41,mada,M02,standard
TXN-20250602-0021,2025-06-02 11:36:35,25.59,cash,M01,standard
TXN-20250602-0022,2025-06-02 12:19:12,32.67,mada,M08,standard
TXN-20250602-0023,2025-06-02 12:27:47,17.77,cash,M01,quick_wash
TXN-20250602-0024,2025-06-02 12:31:15,39.79,mada,M08,standard
TXN-20250602-0025,2025-06-02 12:46:24,34.27,mada,M08,standard
TXN-20250602-0026,2025-06-02 12:47:54,41.56,mada,M03,heavy_duty
TXN-20250602-0027,2025-06-02 13:44:04,62.38,mada,M07,heavy_duty
TXN-20250602-0028,2025-06-02 13:48:10,23.67,mada,M03,quick_wash
TXN-20250602-0029,2025-06-02 13:56:10,17.69,mada,M02,quick_wash
TXN-20250602-0030,2025-06-02 14:00:17,37.61,mada,M06,standard
TXN-20250602-0031,2025-06-02 14:16:20,23.91,mada,M04,quick_wash
TXN-20250602-0032,2025-06-02 14:52:53,34.73,mada,M04,standard
TXN-20250602-0033,2025-06-02 15:15:22,33.8,cash,M01,standard
TXN-20250602-0034,2025-06-02 15:49:58,30.68,mada,M04,standard
TXN-20250602-0035,2025-06-02 16:40:34,33.56,mada,M05,standard
TXN-20250602-0036,2025-06-02 17:07:57,39.01,mada,M05,standard
TXN-20250602-0037,2025-06-02 17:48:12,17.46,mada,M03,quick_wash
TXN-20250602-0038,2025-06-02 18:19:56,23.06,mada,M01,quick_wash
TXN-20250602-0039,2025-06-02 18:40:35,20.25,mada,M04,quick_wash
TXN-20250602-0040,2025-06-02 18:57:59,112.76,mada,M03,dry_clean
TXN-20250602-0041,2025-06-02 19:13:14,60.43,mada,M08,heavy_duty
TXN-20250602-0042,2025-06-02 19:17:46,60.52,cash,M03,heavy_duty
TXN-20250602-0043,2025-06-02 19:27:52,29.2,cash,M06,standard
TXN-20250602-0044,2025-06-02 19:32:33,99.77,mada,M04,dry_clean
TXN-20250602-0045,2025-06-02 19:40:48,16.15,cash,M08,quick_wash
TXN-20250602-0046,2025-06-02 19:50:04,20.06,credit,M05,quick_wash
TXN-20250602-0047,2025-06-02 19:55:29,25.78,mada,M02,standard
TXN-20250602-0048,2025-06-02 20:16:04,33.23,mada,M08,standard
TXN-20250602-0049,2025-06-02 20:27:36,46.37,cash,M01,heavy_duty
TXN-20250602-0050,2025-06-02 20:28:12,19.73,cash,M03,quick_wash
TXN-20250602-0051,2025-06-02 21:09:18,38.94,cash,M04,standard
TXN-20250602-0052,2025-06-02 21:11:09,38.99,credit,M02,standard
TXN-20250602-0053,2025-06-02 21:54:55,15.66,cash,M06,quick_wash
TXN-20250602-0054,2025-06-02 22:00:20,22.82,cash,M05,quick_wash
TXN-20250602-0055,2025-06-02 22:36:52,16.64,mada,M05,quick_wash
TXN-20250602-0056,2025-06-02 22:37:02,21.34,credit,M01,quick_wash
TXN-20250602-0057,2025-06-02 22:45:34,49.81,cash,M07,heavy_duty
TXN-20250602-0058,2025-06-02 23:05:17,62.49,cash,M01,heavy_duty
TXN-20250602-0059,2025-06-02 23:13:08,52.57,mada,M01,heavy_duty
TXN-20250602-0060,2025-06-02 23:32:52,32.98,mada,M08,standard
TXN-20250603-0001,2025-06-03 02:43:58,22.76,mada,M02,quick_wash
TXN-20250603-0002,2025-06-03 06:31:29,32.22,mada,M03,standard
TXN-20250603-0003,2025-06-03 07:39:18,16.82,credit,M07,quick_wash
TXN-20250603-0004,2025-06-03 08:19:53,46.81,credit,M02,heavy_duty
TXN-20250603-0005,2025-06-03 08:21:27,25.38,mada,M02,standard
TXN-20250603-0006,2025-06-03 08:29:22,50.2,mada,M03,heavy_duty
TXN-20250603-0007,2025-06-03 08:51:56,21.72,mada,M06,quick_wash
TXN-20250603-0008,2025-06-03 08:54:50,33.54,credit,M04,standard
TXN-20250603-0009,2025-06-03 09:13:39,15.99,mada,M06,quick_wash
TXN-20250603-0010,2025-06-03 09:25:27,37.1,credit,M04,standard
TXN-20250603-0011,2025-06-03 09:39:14,28.07,mada,M08,standard
TXN-20250603-0012,2025-06-03 10:39:48,21.33,cash,M05,quick_wash
TXN-20250603-0013,2025-06-03 10:48:06,16.81,mada,M04,quick_wash
TXN-20250603-0014,2025-06-03 12:29:15,62.77,cash,M03,heavy_duty
TXN-20250603-0015,2025-06-03 12:40:34,18.8,mada,M04,quick_wash
TXN-20250603-0016,2025-06-03 12:42:21,48.63,cash,M01,heavy_duty
TXN-20250603-0017,2025-06-03 13:26:16,29.42,credit,M06,standard
TXN-20250603-0018,2025-06-03 13:49:20,42.86,mada,M03,heavy_duty
TXN-20250603-0019,2025-06-03 13:51:24,60.0,mada,M03,heavy_duty
TXN-20250603-0020,2025-06-03 14:08:52,36.13,cash,M01,standard
TXN-20250603-0021,2025-06-03 14:10:22,16.39,cash,M04,quick_wash
TXN-20250603-0022,2025-06-03 14:26:33,24.01,cash,M05,quick_wash
TXN-20250603-0023,2025-06-03 14:37:01,24.14,mada,M04,quick_wash
TXN-20250603-0024,2025-06-03 15:06:17,26.01,mada,M06,standard
TXN-20250603-0025,2025-06-03 15:23:24,45.16,mada,M05,heavy_duty
TXN-20250603-0026,2025-06-03 15:52:25,17.66,cash,M02,quick_wash
TXN-20250603-0027,2025-06-03 16:05:52,34.98,mada,M05,standard
TXN-20250603-0028,2025-06-03 16:31:12,50.11,cash,M06,heavy_duty
TXN-20250603-0029,2025-06-03 16:36:20,16.66,cash,M03,quick_wash
TXN-20250603-0030,2025-06-03 16:50:53,22.71,mada,M03,quick_wash
TXN-20250603-0031,2025-06-03 17:16:19,18.56,cash,M07,quick_wash
TXN-20250603-0032,2025-06-03 17:25:10,39.24,mada,M08,standard
TXN-20250603-0033,2025-06-03 17:28:48,101.28,mada,M04,dry_clean
TXN-20250603-0034,2025-06-03 18:06:00,27.43,cash,M01,standard
TXN-20250603-0035,2025-06-03 18:06:51,33.95,mada,M02,standard
TXN-20250603-0036,2025-06-03 18:20:46,30.17,mada,M01,standard
TXN-20250603-0037,2025-06-03 18:22:56,35.33,mada,M07,standard
TXN-20250603-0038,2025-06-03 18:50:28,15.78,mada,M03,quick_wash
TXN-20250603-0039,2025-06-03 19:00:45,20.9,mada,M04,quick_wash
TXN-20250603-0040,2025-06-03 19:00:53,64.05,cash,M01,heavy_duty
TXN-20250603-0041,2025-06-03 19:08:09,27.78,mada,M08,standard
TXN-20250603-0042,2025-06-03 19:35:53,55.97,cash,M05,heavy_duty
TXN-20250603-0043,2025-06-03 19:42:58,37.74,mada,M01,standard
TXN-20250603-0044,2025-06-03 19:44:28,35.4,mada,M02,standard
TXN-20250603-0045,2025-06-03 19:55:18,22.06,credit,M07,quick_wash
TXN-20250603-0046,2025-06-03 20:23:32,32.1,mada,M07,standard
TXN-20250603-0047,2025-06-03 20:40:21,29.46,credit,M02,standard
TXN-20250603-0048,2025-06-03 21:40:48,36.93,cash,M04,standard
TXN-20250603-0049,2025-06-03 21:50:58,47.98,cash,M01,heavy_duty
TXN-20250603-0050,2025-06-03 22:48:28,30.47,mada,M05,standard
TXN-20250603-0051,2025-06-03 23:25:45,21.96,mada,M07,quick_wash
TXN-20250604-0001,2025-06-04 05:08:14,34.93,mada,M05,standard
TXN-20250604-0002,2025-06-04 05:57:02,23.79,cash,M08,quick_wash
TXN-20250604-0003,2025-06-04 06:56:25,16.57,mada,M05,quick_wash
TXN-20250604-0004,2025-06-04 07:11:41,57.44,cash,M07,heavy_duty
TXN-20250604-0005,2025-06-04 08:25:17,27.84,credit,M05,standard
TXN-20250604-0006,2025-06-04 08:40:55,40.73,cash,M02,heavy_duty
TXN-20250604-0007,2025-06-04 09:14:37,45.72,credit,M02,heavy_duty
TXN-20250604-0008,2025-06-04 09:24:33,60.8,mada,M07,heavy_duty
TXN-20250604-0009,2025-06-04 09:39:44,15.84,mada,M01,quick_wash
TXN-20250604-0010,2025-06-04 09:42:33,28.9,cash,M08,standard
TXN-20250604-0011,2025-06-04 09:50:57,43.21,mada,M07,heavy_duty
TXN-20250604-0012,2025-06-04 10:27:28,39.44,mada,M04,standard
TXN-20250604-0013,2025-06-04 10:33:10,22.54,cash,M04,quick_wash
TXN-20250604-0014,2025-06-04 11:08:02,26.02,mada,M01,standard
TXN-20250604-0015,2025-06-04 11:19:28,57.71,mada,M06,heavy_duty
TXN-20250604-0016,2025-06-04 12:02:58,25.69,credit,M08,standard
TXN-20250604-0017,2025-06-04 12:19:57,31.69,cash,M04,standard
TXN-20250604-0018,2025-06-04 12:58:33,40.61,mada,M06,heavy_duty
TXN-20250604-0019,2025-06-04 13:04:10,37.28,mada,M07,standard
TXN-20250604-0020,2025-06-04 13:04:12,29.1,credit,M01,standard
TXN-20250604-0021,2025-06-04 13:05:36,23.54,mada,M05,quick_wash
TXN-20250604-0022,2025-06-04 13:08:03,28.31,mada,M06,standard
TXN-20250604-0023,2025-06-04 13:41:34,16.31,credit,M06,quick_wash
TXN-20250604-0024,2025-06-04 13:46:24,19.32,credit,M08,quick_wash
TXN-20250604-0025,2025-06-04 14:04:04,64.11,cash,M05,heavy_duty
TXN-20250604-0026,2025-06-04 14:49:17,78.65,credit,M07,dry_clean
TXN-20250604-0027,2025-06-04 17:16:23,45.01,credit,M08,heavy_duty
TXN-20250604-0028,2025-06-04 17:16:49,37.97,mada,M08,standard
TXN-20250604-0029,2025-06-04 17:45:09,17.04,mada,M08,quick_wash
TXN-20250604-0030,2025-06-04 17:53:52,61.12,cash,M03,heavy_duty
TXN-20250604-0031,2025-06-04 18:23:59,47.35,credit,M02,heavy_duty
TXN-20250604-0032,2025-06-04 19:04:47,36.95,mada,M06,standard
TXN-20250604-0033,2025-06-04 19:12:55,34.11,mada,M01,standard
TXN-20250604-0034,2025-06-04 19:13:36,19.92,mada,M06,quick_wash
TXN-20250604-0035,2025-06-04 19:22:48,33.85,mada,M08,standard
TXN-20250604-0036,2025-06-04 19:48:58,25.17,mada,M08,standard
TXN-20250604-0037,2025-06-04 20:02:31,39.62,cash,M03,standard
TXN-20250604-0038,2025-06-04 20:40:48,37.9,cash,M08,standard
TXN-20250604-0039,2025-06-04 20:55:05,58.73,mada,M04,heavy_duty
TXN-20250604-0040,2025-06-04 20:59:47,59.97,mada,M06,dry_clean
TXN-20250604-0041,2025-06-04 21:50:44,18.46,cash,M02,quick_wash
TXN-20250604-0042,2025-06-04 21:53:46,32.77,mada,M05,standard
TXN-20250604-0043,2025-06-04 22:07:58,23.25,mada,M07,quick_wash
TXN-20250604-0044,2025-06-04 22:12:27,20.68,cash,M02,quick_wash
TXN-20250604-0045,2025-06-04 22:34:37,41.03,cash,M08,heavy_duty
TXN-20250604-0046,2025-06-04 23:08:34,35.6,mada,M06,standard
TXN-20250604-0047,2025-06-04 23:31:28,34.19,mada,M04,standard
TXN-20250604-0048,2025-06-04 23:39:24,57.85,cash,M06,heavy_duty
TXN-20250605-0001,2025-06-05 06:32:48,59.95,mada,M03,heavy_duty
TXN-20250605-0002,2025-06-05 07:00:56,29.45,cash,M05,standard
TXN-20250605-0003,2025-06-05 07:05:33,30.5,mada,M05,standard
TXN-20250605-0004,2025-06-05 07:42:11,33.23,mada,M08,standard
TXN-20250605-0005,2025-06-05 07:46:42,28.41,mada,M03,standard
TXN-20250605-0006,2025-06-05 07:58:04,21.43,cash,M01,quick_wash
TXN-20250605-0007,2025-06-05 08:01:49,37.95,mada,M06,standard
TXN-20250605-0008,2025-06-05 08:10:03,106.96,mada,M05,dry_clean
TXN-20250605-0009,2025-06-05 08:25:42,33.7,mada,M07,standard
TXN-20250605-0010,2025-06-05 08:27:56,33.24,cash,M04,standard
TXN-20250605-0011,2025-06-05 09:01:08,51.28,mada,M07,dry_clean
TXN-20250605-0012,2025-06-05 09:04:46,41.78,credit,M04,heavy_duty
TXN-20250605-0013,2025-06-05 09:11:26,54.22,credit,M06,dry_clean
TXN-20250605-0014,2025-06-05 09:16:25,16.66,cash,M05,quick_wash
TXN-20250605-0015,2025-06-05 09:34:05,18.07,cash,M03,quick_wash
TXN-20250605-0016,2025-06-05 09:46:36,26.34,cash,M02,standard
TXN-20250605-0017,2025-06-05 09:55:43,19.14,mada,M03,quick_wash
TXN-20250605-0018,2025-06-05 10:00:54,23.59,cash,M07,quick_wash
TXN-20250605-0019,2025-06-05 10:07:46,42.67,mada,M02,heavy_duty
TXN-20250605-0020,2025-06-05 10:24:47,79.72,mada,M06,dry_clean
TXN-20250605-0021,2025-06-05 10:32:00,25.65,cash,M03,standard
TXN-20250605-0022,2025-06-05 10:37:18,21.38,mada,M04,quick_wash
TXN-20250605-0023,2025-06-05 10:50:13,17.12,cash,M02,quick_wash
TXN-20250605-0024,2025-06-05 10:53:19,38.59,cash,M01,standard
TXN-20250605-0025,2025-06-05 11:52:12,22.81,mada,M03,quick_wash
TXN-20250605-0026,2025-06-05 12:04:40,56.79,cash,M03,heavy_duty
TXN-20250605-0027,2025-06-05 12:05:08,31.78,mada,M07,standard
TXN-20250605-0028,2025-06-05 12:48:48,23.69,mada,M05,quick_wash
TXN-20250605-0029,2025-06-05 12:49:28,15.24,cash,M04,quick_wash
TXN-20250605-0030,2025-06-05 12:56:38,21.38,mada,M05,quick_wash
TXN-20250605-0031,2025-06-05 13:09:11,32.45,credit,M03,standard
TXN-20250605-0032,2025-06-05 13:11:41,35.14,mada,M05,standard
TXN-20250605-0033,2025-06-05 13:15:13,57.31,credit,M04,heavy_duty
TXN-20250605-0034,2025-06-05 13:19:22,55.08,mada,M08,heavy_duty
TXN-20250605-0035,2025-06-05 13:33:24,15.79,mada,M01,quick_wash
TXN-20250605-0036,2025-06-05 13:45:03,31.02,mada,M06,standard
TXN-20250605-0037,2025-06-05 13:49:20,26.04,mada,M02,standard
TXN-20250605-0038,2025-06-05 14:00:04,26.05,cash,M08,standard
TXN-20250605-0039,2025-06-05 14:05:43,56.27,mada,M05,heavy_duty
TXN-20250605-0040,2025-06-05 14:15:49,27.85,mada,M04,standard
TXN-20250605-0041,2025-06-05 14:45:03,33.37,cash,M06,standard
TXN-20250605-0042,2025-06-05 14:52:47,33.71,mada,M05,standard
TXN-20250605-0043,2025-06-05 15:13:15,21.9,mada,M08,quick_wash
TXN-20250605-0044,2025-06-05 15:58:19,31.34,cash,M04,standard
TXN-20250605-0045,2025-06-05 16:07:28,34.97,cash,M08,standard
TXN-20250605-0046,2025-06-05 16:25:27,26.8,credit,M06,standard
TXN-20250605-0047,2025-06-05 16:43:37,114.89,mada,M01,dry_clean
TXN-20250605-0048,2025-06-05 17:00:54,26.39,mada,M08,standard
TXN-20250605-0049,2025-06-05 17:12:08,43.19,cash,M06,heavy_duty
TXN-20250605-0050,2025-06-05 17:21:46,15.63,mada,M07,quick_wash
TXN-20250605-0051,2025-06-05 17:29:40,18.6,mada,M03,quick_wash
TXN-20250605-0052,2025-06-05 17:33:00,20.1,cash,M06,quick_wash
TXN-20250605-0053,2025-06-05 17:46:14,34.01,mada,M03,standard
TXN-20250605-0054,2025-06-05 18:09:29,54.36,mada,M04,heavy_duty
TXN-20250605-0055,2025-06-05 18:36:52,24.31,mada,M02,quick_wash
TXN-20250605-0056,2025-06-05 18:44:51,35.11,mada,M06,standard
TXN-20250605-0057,2025-06-05 18:49:13,59.75,mada,M01,heavy_duty
TXN-20250605-0058,2025-06-05 19:19:07,25.34,mada,M03,standard
TXN-20250605-0059,2025-06-05 19:30:40,39.63,cash,M01,standard
TXN-20250605-0060,2025-06-05 19:49:23,32.19,mada,M07,standard
TXN-20250605-0061,2025-06-05 19:54:54,34.09,cash,M05,standard
TXN-20250605-0062,2025-06-05 19:55:27,39.29,cash,M05,standard
TXN-20250605-0063,2025-06-05 19:58:42,26.02,mada,M01,standard
TXN-20250605-0064,2025-06-05 20:07:24,15.8,cash,M08,quick_wash
TXN-20250605-0065,2025-06-05 20:09:28,29.68,mada,M02,standard
TXN-20250605-0066,2025-06-05 20:18:30,23.51,mada,M03,quick_wash
TXN-20250605-0067,2025-06-05 20:19:52,34.75,mada,M03,standard
TXN-20250605-0068,2025-06-05 20:41:59,27.88,mada,M06,standard
TXN-20250605-0069,2025-06-05 20:42:36,54.04,cash,M01,dry_clean
TXN-20250605-0070,2025-06-05 20:49:22,27.56,mada,M04,standard
TXN-20250605-0071,2025-06-05 21:31:37,26.52,cash,M04,standard
TXN-20250605-0072,2025-06-05 21:49:17,34.5,mada,M05,standard
TXN-20250605-0073,2025-06-05 21:54:07,29.59,cash,M04,standard
TXN-20250605-0074,2025-06-05 22:11:36,58.11,cash,M07,heavy_duty
TXN-20250605-0075,2025-06-05 22:25:28,27.92,mada,M04,standard
TXN-20250605-0076,2025-06-05 22:32:40,27.65,mada,M05,standard
TXN-20250605-0077,2025-06-05 22:33:37,19.16,mada,M06,quick_wash
TXN-20250605-0078,2025-06-05 22:39:48,54.55,cash,M08,heavy_duty
TXN-20250605-0079,2025-06-05 23:30:55,28.23,mada,M02,standard
TXN-20250605-0080,2025-06-05 23:36:19,27.98,mada,M08,standard
TXN-20250606-0001,2025-06-06 02:00:43,23.25,mada,M06,quick_wash
TXN-20250606-0002,2025-06-06 05:25:57,21.95,cash,M02,quick_wash
TXN-20250606-0003,2025-06-06 07:09:23,59.72,mada,M08,heavy_duty
TXN-20250606-0004,2025-06-06 07:12:17,26.84,cash,M01,standard
TXN-20250606-0005,2025-06-06 07:15:07,17.21,mada,M03,quick_wash
TXN-20250606-0006,2025-06-06 07:21:42,58.34,mada,M01,heavy_duty
TXN-20250606-0007,2025-06-06 07:41:57,34.54,cash,M03,standard
TXN-20250606-0008,2025-06-06 07:43:46,39.87,cash,M07,standard
TXN-20250606-0009,2025-06-06 07:53:11,33.82,mada,M05,standard
TXN-20250606-0010,2025-06-06 08:16:54,61.57,cash,M06,dry_clean
TXN-20250606-0011,2025-06-06 08:24:36,46.83,mada,M05,heavy_duty
TXN-20250606-0012,2025-06-06 08:31:50,41.4,credit,M02,heavy_duty
TXN-20250606-0013,2025-06-06 08:40:47,61.05,mada,M01,heavy_duty
TXN-20250606-0014,2025-06-06 08:54:05,39.06,cash,M02,standard
TXN-20250606-0015,2025-06-06 08:55:02,22.28,mada,M01,quick_wash
TXN-20250606-0016,2025-06-06 08:55:20,40.18,mada,M06,heavy_duty
TXN-20250606-0017,2025-06-06 09:02:23,27.03,cash,M08,standard
TXN-20250606-0018,2025-06-06 09:26:01,25.2,mada,M02,standard
TXN-20250606-0019,2025-06-06 09:38:26,17.62,mada,M04,quick_wash
TXN-20250606-0020,2025-06-06 09:50:30,64.37,mada,M07,heavy_duty
TXN-20250606-0021,2025-06-06 10:17:18,36.65,mada,M05,standard
TXN-20250606-0022,2025-06-06 10:21:41,41.16,cash,M03,heavy_duty
TXN-20250606-0023,2025-06-06 10:24:21,20.32,mada,M07,quick_wash
TXN-20250606-0024,2025-06-06 11:13:56,17.37,cash,M03,quick_wash
TXN-20250606-0025,2025-06-06 11:31:41,89.21,credit,M02,dry_clean
TXN-20250606-0026,2025-06-06 11:34:57,59.69,cash,M05,heavy_duty
TXN-20250606-0027,2025-06-06 11:37:20,67.96,cash,M02,dry_clean
TXN-20250606-0028,2025-06-06 11:43:31,18.38,mada,M05,quick_wash
TXN-20250606-0029,2025-06-06 12:06:03,30.24,mada,M02,standard
TXN-20250606-0030,2025-06-06 12:10:15,50.45,mada,M06,heavy_duty
TXN-20250606-0031,2025-06-06 12:33:42,32.85,mada,M02,standard
TXN-20250606-0032,2025-06-06 12:36:15,33.14,cash,M01,standard
TXN-20250606-0033,2025-06-06 12:39:34,26.23,mada,M01,standard
TXN-20250606-0034,2025-06-06 12:40:46,27.11,cash,M01,standard
TXN-20250606-0035,2025-06-06 12:48:11,31.93,mada,M05,standard
TXN-20250606-0036,2025-06-06 13:17:20,47.26,cash,M06,heavy_duty
TXN-20250606-0037,2025-06-06 13:20:14,51.48,mada,M07,heavy_duty
TXN-20250606-0038,2025-06-06 13:21:42,30.1,credit,M02,standard
TXN-20250606-0039,2025-06-06 13:51:03,36.35,mada,M08,standard
TXN-20250606-0040,2025-06-06 13:54:38,21.6,mada,M06,quick_wash
TXN-20250606-0041,2025-06-06 13:57:54,19.51,credit,M02,quick_wash
TXN-20250606-0042,2025-06-06 14:03:19,33.29,mada,M03,standard
TXN-20250606-0043,2025-06-06 14:22:28,87.71,mada,M06,dry_clean
TXN-20250606-0044,2025-06-06 14:36:32,31.78,mada,M03,standard
TXN-20250606-0045,2025-06-06 14:45:48,64.11,mada,M02,heavy_duty
