transaction_id,timestamp,amount_sar,payment_method,basket_size,category
MINI-20250601-0085,2025-06-01 16:53:03,137.03,cash,medium_basket,household
MINI-20250601-0086,2025-06-01 17:06:11,39.55,mada,small_basket,beverages
MINI-20250601-0087,2025-06-01 17:07:31,28.17,cash,small_basket,snacks
MINI-20250601-0088,2025-06-01 17:07:49,118.05,credit,medium_basket,beverages
MINI-20250601-0089,2025-06-01 17:09:52,125.47,mada,medium_basket,personal_care
MINI-20250601-0090,2025-06-01 17:11:04,28.53,cash,small_basket,snacks
MINI-20250601-0091,2025-06-01 17:15:26,317.36,cash,large_basket,beverages
MINI-20250601-0092,2025-06-01 17:29:21,41.53,credit,small_basket,snacks
MINI-20250601-0093,2025-06-01 17:32:12,39.45,credit,small_basket,beverages
MINI-20250601-0094,2025-06-01 17:38:56,150.18,cash,medium_basket,snacks
MINI-20250601-0095,2025-06-01 17:39:57,34.42,cash,small_basket,beverages
MINI-20250601-0096,2025-06-01 17:49:08,327.46,mada,large_basket,groceries
MINI-20250601-0097,2025-06-01 17:53:17,35.16,credit,small_basket,groceries
MINI-20250601-0098,2025-06-01 17:54:38,13.7,cash,small_basket,snacks
MINI-20250601-0099,2025-06-01 17:55:39,128.31,cash,medium_basket,groceries
MINI-20250601-0100,2025-06-01 17:56:03,126.28,cash,medium_basket,snacks
MINI-20250601-0101,2025-06-01 18:05:32,150.42,credit,medium_basket,snacks
MINI-20250601-0102,2025-06-01 18:11:51,59.7,mada,medium_basket,personal_care
MINI-20250601-0103,2025-06-01 18:12:56,10.1,mada,small_basket,household
MINI-20250601-0104,2025-06-01 18:15:37,94.8,mada,medium_basket,household
MINI-20250601-0105,2025-06-01 18:24:33,17.82,cash,small_basket,beverages
MINI-20250601-0106,2025-06-01 18:24:45,31.74,mada,small_basket,personal_care
MINI-20250601-0107,2025-06-01 18:27:36,13.88,cash,small_basket,household
MINI-20250601-0108,2025-06-01 18:29:29,12.3,cash,small_basket,personal_care
MINI-20250601-0109,2025-06-01 18:34:47,32.35,mada,small_basket,beverages
MINI-20250601-0110,2025-06-01 18:36:32,22.49,mada,small_basket,beverages
MINI-20250601-0111,2025-06-01 18:38:47,24.44,mada,small_basket,beverages
MINI-20250601-0112,2025-06-01 18:39:59,94.8,cash,medium_basket,beverages
MINI-20250601-0113,2025-06-01 18:46:52,28.86,credit,small_basket,groceries
MINI-20250601-0114,2025-06-01 18:56:32,30.49,credit,small_basket,snacks
MINI-20250601-0115,2025-06-01 18:57:20,25.32,cash,small_basket,beverages
MINI-20250601-0116,2025-06-01 19:04:23,162.99,cash,medium_basket,beverages
MINI-20250601-0117,2025-06-01 19:18:30,31.67,mada,small_basket,beverages
MINI-20250601-0118,2025-06-01 19:19:28,14.44,mada,small_basket,personal_care
MINI-20250601-0119,2025-06-01 19:21:58,27.34,mada,small_basket,groceries
MINI-20250601-0120,2025-06-01 19:22:39,410.76,mada,large_basket,household
MINI-20250601-0121,2025-06-01 19:34:37,44.81,mada,small_basket,groceries
MINI-20250601-0122,2025-06-01 19:35:30,157.74,mada,medium_basket,household
MINI-20250601-0123,2025-06-01 19:42:49,42.0,mada,small_basket,snacks
MINI-20250601-0124,2025-06-01 19:52:35,24.58,credit,small_basket,snacks
MINI-20250601-0125,2025-06-01 20:06:10,62.16,cash,medium_basket,beverages
MINI-20250601-0126,2025-06-01 20:12:46,121.88,mada,medium_basket,household
MINI-20250601-0127,2025-06-01 20:13:06,60.59,cash,medium_basket,beverages
MINI-20250601-0128,2025-06-01 20:14:54,56.53,cash,medium_basket,groceries
MINI-20250601-0129,2025-06-01 20:22:47,149.4,cash,medium_basket,groceries
MINI-20250601-0130,2025-06-01 20:39:38,175.83,mada,medium_basket,snacks
MINI-20250601-0131,2025-06-01 20:42:17,149.49,mada,medium_basket,groceries
MINI-20250601-0132,2025-06-01 20:47:46,277.15,mada,large_basket,household
MINI-20250601-0133,2025-06-01 20:48:56,37.47,cash,small_basket,snacks
MINI-20250601-0134,2025-06-01 20:51:31,60.14,mada,medium_basket,personal_care
MINI-20250601-0135,2025-06-01 20:51:38,43.98,cash,small_basket,groceries
MINI-20250601-0136,2025-06-01 20:55:54,207.22,mada,large_basket,household
MINI-20250601-0137,2025-06-01 21:05:31,324.81,mada,large_basket,beverages
MINI-20250601-0138,2025-06-01 21:06:32,20.09,mada,small_basket,household
MINI-20250601-0139,2025-06-01 21:10:35,262.91,mada,large_basket,personal_care
MINI-20250601-0140,2025-06-01 21:10:56,170.66,mada,medium_basket,groceries
MINI-20250601-0141,2025-06-01 21:11:28,127.95,mada,medium_basket,beverages
MINI-20250601-0142,2025-06-01 21:29:24,25.75,cash,small_basket,beverages
MINI-20250601-0143,2025-06-01 21:42:08,105.91,mada,medium_basket,groceries
MINI-20250601-0144,2025-06-01 21:47:18,8.85,cash,small_basket,personal_care
MINI-20250601-0145,2025-06-01 21:48:20,9.7,credit,small_basket,groceries
MINI-20250601-0146,2025-06-01 21:51:49,21.68,cash,small_basket,groceries
MINI-20250601-0147,2025-06-01 21:55:43,101.1,mada,medium_basket,groceries
MINI-20250601-0148,2025-06-01 22:00:53,127.62,mada,medium_basket,groceries
MINI-20250601-0149,2025-06-01 22:06:03,154.81,mada,medium_basket,beverages
MINI-20250601-0150,2025-06-01 22:12:47,19.52,mada,small_basket,personal_care
MINI-20250601-0151,2025-06-01 22:16:25,38.2,cash,small_basket,personal_care
MINI-20250601-0152,2025-06-01 22:18:01,14.85,credit,small_basket,household
MINI-20250601-0153,2025-06-01 22:25:30,46.77,mada,medium_basket,household
MINI-20250601-0154,2025-06-01 22:28:05,28.99,mada,small_basket,groceries
MINI-20250601-0155,2025-06-01 22:28:51,18.54,mada,small_basket,household
MINI-20250601-0156,2025-06-01 22:51:00,18.27,cash,small_basket,beverages
MINI-20250601-0157,2025-06-01 22:53:51,34.78,credit,small_basket,groceries
MINI-20250601-0158,2025-06-01 23:09:14,30.6,mada,small_basket,personal_care
MINI-20250602-0001,2025-06-02 00:42:36,15.19,mada,small_basket,groceries
MINI-20250602-0002,2025-06-02 00:54:12,135.22,cash,medium_basket,groceries
MINI-20250602-0003,2025-06-02 00:57:39,8.73,mada,small_basket,groceries
MINI-20250602-0004,2025-06-02 01:52:59,13.39,cash,small_basket,beverages
MINI-20250602-0005,2025-06-02 03:35:59,22.8,mada,small_basket,household
MINI-20250602-0006,2025-06-02 03:45:07,13.44,mada,small_basket,groceries
MINI-20250602-0007,2025-06-02 03:47:51,177.75,mada,medium_basket,household
MINI-20250602-0008,2025-06-02 05:03:34,10.46,mada,small_basket,snacks
MINI-20250602-0009,2025-06-02 05:32:17,44.8,mada,small_basket,groceries
MINI-20250602-0010,2025-06-02 05:40:39,170.08,cash,medium_basket,household
MINI-20250602-0011,2025-06-02 06:38:36,10.39,mada,small_basket,beverages
MINI-20250602-0012,2025-06-02 07:00:18,375.17,cash,large_basket,groceries
MINI-20250602-0013,2025-06-02 07:01:26,161.43,mada,medium_basket,beverages
MINI-20250602-0014,2025-06-02 07:03:30,120.59,credit,medium_basket,beverages
MINI-20250602-0015,2025-06-02 07:10:03,25.46,mada,small_basket,beverages
MINI-20250602-0016,2025-06-02 07:20:07,43.15,cash,small_basket,groceries
MINI-20250602-0017,2025-06-02 07:24:06,26.96,cash,small_basket,groceries
MINI-20250602-0018,2025-06-02 07:30:59,28.18,cash,small_basket,groceries
MINI-20250602-0019,2025-06-02 07:37:03,173.34,mada,medium_basket,beverages
MINI-20250602-0020,2025-06-02 07:42:53,15.65,mada,small_basket,beverages
MINI-20250602-0021,2025-06-02 07:48:46,122.91,mada,medium_basket,groceries
MINI-20250602-0022,2025-06-02 07:53:18,62.93,mada,medium_basket,beverages
MINI-20250602-0023,2025-06-02 07:59:05,202.09,cash,large_basket,groceries
MINI-20250602-0024,2025-06-02 08:03:32,119.46,cash,medium_basket,beverages
MINI-20250602-0025,2025-06-02 08:10:45,16.98,mada,small_basket,beverages
MINI-20250602-0026,2025-06-02 08:11:53,318.98,cash,large_basket,groceries
MINI-20250602-0027,2025-06-02 08:15:20,20.01,mada,small_basket,beverages
MINI-20250602-0028,2025-06-02 08:15:23,98.32,cash,medium_basket,personal_care
MINI-20250602-0029,2025-06-02 08:17:01,37.51,mada,small_basket,groceries
MINI-20250602-0030,2025-06-02 08:19:12,15.4,cash,small_basket,snacks
MINI-20250602-0031,2025-06-02 08:23:15,11.15,mada,small_basket,household
MINI-20250602-0032,2025-06-02 08:27:35,28.32,cash,small_basket,beverages
MINI-20250602-0033,2025-06-02 08:28:54,260.45,credit,large_basket,groceries
MINI-20250602-0034,2025-06-02 08:30:40,35.78,cash,small_basket,personal_care
MINI-20250602-0035,2025-06-02 08:31:33,42.44,mada,small_basket,groceries
MINI-20250602-0036,2025-06-02 08:32:32,37.5,cash,small_basket,beverages
MINI-20250602-0037,2025-06-02 08:38:45,10.19,mada,small_basket,beverages
MINI-20250602-0038,2025-06-02 08:48:02,132.21,credit,medium_basket,groceries
MINI-20250602-0039,2025-06-02 08:49:43,25.82,cash,small_basket,beverages
MINI-20250602-0040,2025-06-02 08:51:58,344.34,mada,large_basket,groceries
MINI-20250602-0041,2025-06-02 08:56:59,141.63,mada,medium_basket,groceries
MINI-20250602-0042,2025-06-02 08:59:26,130.82,mada,medium_basket,beverages
MINI-20250602-0043,2025-06-02 09:12:20,42.46,mada,small_basket,household
MINI-20250602-0044,2025-06-02 09:15:13,46.56,cash,medium_basket,groceries
MINI-20250602-0045,2025-06-02 09:18:29,121.35,mada,medium_basket,groceries
MINI-20250602-0046,2025-06-02 09:22:32,82.23,mada,medium_basket,groceries
MINI-20250602-0047,2025-06-02 09:28:24,324.88,cash,large_basket,groceries
MINI-20250602-0048,2025-06-02 09:28:39,17.59,mada,small_basket,household
MINI-20250602-0049,2025-06-02 09:36:10,95.57,cash,medium_basket,groceries
MINI-20250602-0050,2025-06-02 09:38:03,39.62,cash,small_basket,household
MINI-20250602-0051,2025-06-02 09:39:56,21.76,mada,small_basket,snacks
MINI-20250602-0052,2025-06-02 09:42:59,56.29,cash,medium_basket,beverages
MINI-20250602-0053,2025-06-02 09:44:16,46.7,mada,medium_basket,groceries
MINI-20250602-0054,2025-06-02 09:55:28,36.27,cash,small_basket,household
MINI-20250602-0055,2025-06-02 09:59:27,246.73,credit,large_basket,snacks
MINI-20250602-0056,2025-06-02 10:05:30,11.49,cash,small_basket,groceries
MINI-20250602-0057,2025-06-02 10:09:29,67.1,cash,medium_basket,beverages
MINI-20250602-0058,2025-06-02 10:19:53,21.44,mada,small_basket,beverages
MINI-20250602-0059,2025-06-02 10:32:36,81.48,cash,medium_basket,groceries
MINI-20250602-0060,2025-06-02 10:37:02,168.6,mada,medium_basket,snacks
MINI-20250602-0061,2025-06-02 10:41:35,87.77,cash,medium_basket,groceries
MINI-20250602-0062,2025-06-02 10:41:39,30.19,cash,small_basket,personal_care
MINI-20250602-0063,2025-06-02 11:05:58,43.16,cash,small_basket,snacks
MINI-20250602-0064,2025-06-02 11:07:51,33.68,cash,small_basket,beverages
MINI-20250602-0065,2025-06-02 11:26:18,251.55,mada,large_basket,snacks
MINI-20250602-0066,2025-06-02 11:29:55,257.0,mada,large_basket,personal_care
MINI-20250602-0067,2025-06-02 11:34:46,342.19,cash,large_basket,personal_care
MINI-20250602-0068,2025-06-02 11:58:37,44.02,mada,small_basket,household
MINI-20250602-0069,2025-06-02 12:00:14,25.32,cash,small_basket,snacks
MINI-20250602-0070,2025-06-02 12:02:57,152.2,mada,medium_basket,personal_care
MINI-20250602-0071,2025-06-02 12:17:03,12.69,mada,small_basket,household
MINI-20250602-0072,2025-06-02 12:20:25,359.87,mada,large_basket,groceries
MINI-20250602-0073,2025-06-02 12:21:05,53.78,mada,medium_basket,household
MINI-20250602-0074,2025-06-02 12:22:25,294.93,mada,large_basket,personal_care
MINI-20250602-0075,2025-06-02 12:28:52,161.06,mada,medium_basket,beverages
MINI-20250602-0076,2025-06-02 12:32:14,222.67,cash,large_basket,groceries
MINI-20250602-0077,2025-06-02 12:35:44,153.07,mada,medium_basket,personal_care
MINI-20250602-0078,2025-06-02 12:36:15,44.98,mada,small_basket,groceries
MINI-20250602-0079,2025-06-02 12:43:12,35.48,cash,small_basket,beverages
MINI-20250602-0080,2025-06-02 12:50:43,159.06,cash,medium_basket,household
MINI-20250602-0081,2025-06-02 13:01:56,122.75,mada,medium_basket,groceries
MINI-20250602-0082,2025-06-02 13:08:18,219.15,mada,large_basket,snacks
MINI-20250602-0083,2025-06-02 13:23:00,39.22,cash,small_basket,snacks
MINI-20250602-0084,2025-06-02 13:29:37,19.67,credit,small_basket,groceries
MINI-20250602-0085,2025-06-02 13:39:50,140.49,mada,medium_basket,snacks
MINI-20250602-0086,2025-06-02 13:40:43,51.36,mada,medium_basket,groceries
MINI-20250602-0087,2025-06-02 13:45:02,35.04,mada,small_basket,beverages
MINI-20250602-0088,2025-06-02 13:48:28,330.3,mada,large_basket,snacks
MINI-20250602-0089,2025-06-02 13:51:19,41.49,cash,small_basket,household
MINI-20250602-0090,2025-06-02 13:57:35,113.39,cash,medium_basket,personal_care
MINI-20250602-0091,2025-06-02 14:06:40,22.81,cash,small_basket,beverages
MINI-20250602-0092,2025-06-02 14:09:04,349.23,cash,large_basket,groceries
MINI-20250602-0093,2025-06-02 14:11:23,26.58,cash,small_basket,household
MINI-20250602-0094,2025-06-02 14:13:59,133.59,cash,medium_basket,groceries
MINI-20250602-0095,2025-06-02 14:23:47,51.91,mada,medium_basket,groceries
MINI-20250602-0096,2025-06-02 14:29:48,21.12,mada,small_basket,beverages
MINI-20250602-0097,2025-06-02 14:35:05,260.71,cash,large_basket,beverages
MINI-20250602-0098,2025-06-02 14:39:33,11.32,mada,small_basket,personal_care
MINI-20250602-0099,2025-06-02 14:46:26,13.34,mada,small_basket,beverages
MINI-20250602-0100,2025-06-02 14:46:39,97.29,mada,medium_basket,beverages
MINI-20250602-0101,2025-06-02 14:48:49,22.64,cash,small_basket,beverages
MINI-20250602-0102,2025-06-02 14:55:21,135.5,mada,medium_basket,groceries
MINI-20250602-0103,2025-06-02 15:10:43,35.12,mada,small_basket,snacks
MINI-20250602-0104,2025-06-02 15:17:22,86.37,cash,medium_basket,groceries
MINI-20250602-0105,2025-06-02 15:23:01,25.98,mada,small_basket,personal_care
MINI-20250602-0106,2025-06-02 15:28:07,65.62,mada,medium_basket,groceries
MINI-20250602-0107,2025-06-02 15:34:01,88.65,mada,medium_basket,groceries
MINI-20250602-0108,2025-06-02 15:45:57,35.65,cash,small_basket,beverages
MINI-20250602-0109,2025-06-02 15:52:36,114.07,mada,medium_basket,groceries
MINI-20250602-0110,2025-06-02 16:00:00,35.74,credit,small_basket,groceries
MINI-20250602-0111,2025-06-02 16:19:21,16.28,cash,small_basket,personal_care
MINI-20250602-0112,2025-06-02 16:23:57,34.3,cash,small_basket,groceries
MINI-20250602-0113,2025-06-02 16:27:03,30.95,mada,small_basket,beverages
MINI-20250602-0114,2025-06-02 16:28:50,28.05,cash,small_basket,beverages
MINI-20250602-0115,2025-06-02 16:43:37,9.1,cash,small_basket,groceries
MINI-20250602-0116,2025-06-02 16:44:59,67.09,cash,medium_basket,snacks
MINI-20250602-0117,2025-06-02 16:45:38,262.1,cash,large_basket,groceries
MINI-20250602-0118,2025-06-02 16:50:40,61.27,cash,medium_basket,beverages
MINI-20250602-0119,2025-06-02 17:02:13,379.51,mada,large_basket,snacks
MINI-20250602-0120,2025-06-02 17:03:14,43.78,cash,small_basket,snacks
MINI-20250602-0121,2025-06-02 17:07:41,18.14,cash,small_basket,snacks
MINI-20250602-0122,2025-06-02 17:08:47,8.0,mada,small_basket,snacks
MINI-20250602-0123,2025-06-02 17:12:46,90.94,mada,medium_basket,beverages
MINI-20250602-0124,2025-06-02 17:17:19,35.59,mada,small_basket,household
MINI-20250602-0125,2025-06-02 17:19:43,324.66,mada,large_basket,personal_care
MINI-20250602-0126,2025-06-02 17:21:14,40.99,mada,small_basket,personal_care
MINI-20250602-0127,2025-06-02 17:24:58,10.08,mada,small_basket,snacks
MINI-20250602-0128,2025-06-02 17:28:44,234.56,mada,large_basket,beverages
MINI-20250602-0129,2025-06-02 17:30:57,36.1,mada,small_basket,personal_care
MINI-20250602-0130,2025-06-02 17:34:49,123.07,cash,medium_basket,groceries
MINI-20250602-0131,2025-06-02 17:36:20,35.77,mada,small_basket,groceries
MINI-20250602-0132,2025-06-02 17:36:57,348.19,mada,large_basket,household
MINI-20250602-0133,2025-06-02 17:39:20,43.29,mada,small_basket,household
MINI-20250602-0134,2025-06-02 17:45:00,108.33,cash,medium_basket,snacks
MINI-20250602-0135,2025-06-02 17:49:46,86.76,cash,medium_basket,snacks
MINI-20250602-0136,2025-06-02 17:54:20,33.22,mada,small_basket,groceries
MINI-20250602-0137,2025-06-02 18:00:28,43.23,cash,small_basket,groceries
MINI-20250602-0138,2025-06-02 18:04:13,321.13,cash,large_basket,groceries
MINI-20250602-0139,2025-06-02 18:04:17,339.44,cash,large_basket,groceries
MINI-20250602-0140,2025-06-02 18:10:58,17.9,credit,small_basket,groceries
MINI-20250602-0141,2025-06-02 18:11:01,50.77,mada,medium_basket,groceries
MINI-20250602-0142,2025-06-02 18:20:47,151.65,credit,medium_basket,snacks
MINI-20250602-0143,2025-06-02 18:26:46,38.71,mada,small_basket,snacks
MINI-20250602-0144,2025-06-02 18:37:30,38.44,mada,small_basket,groceries
MINI-20250602-0145,2025-06-02 18:37:36,12.58,mada,small_basket,personal_care
MINI-20250602-0146,2025-06-02 18:40:34,76.77,mada,medium_basket,beverages
MINI-20250602-0147,2025-06-02 18:40:55,204.68,cash,large_basket,groceries
MINI-20250602-0148,2025-06-02 18:42:24,12.69,mada,small_basket,groceries
MINI-20250602-0149,2025-06-02 18:44:28,18.22,cash,small_basket,groceries
MINI-20250602-0150,2025-06-02 18:53:20,14.98,cash,small_basket,household
MINI-20250602-0151,2025-06-02 19:02:11,95.0,mada,medium_basket,groceries
MINI-20250602-0152,2025-06-02 19:02:39,29.25,cash,small_basket,snacks
MINI-20250602-0153,2025-06-02 19:04:17,23.67,mada,small_basket,groceries
MINI-20250602-0154,2025-06-02 19:05:59,218.08,credit,large_basket,beverages
MINI-20250602-0155,2025-06-02 19:06:16,14.46,cash,small_basket,beverages
MINI-20250602-0156,2025-06-02 19:09:13,17.79,mada,small_basket,beverages
MINI-20250602-0157,2025-06-02 19:12:04,34.19,cash,small_basket,groceries
MINI-20250602-0158,2025-06-02 19:12:04,79.92,cash,medium_basket,groceries
MINI-20250602-0159,2025-06-02 19:12:08,17.07,cash,small_basket,groceries
MINI-20250602-0160,2025-06-02 19:21:20,21.27,mada,small_basket,personal_care
MINI-20250602-0161,2025-06-02 19:39:39,166.59,mada,medium_basket,groceries
MINI-20250602-0162,2025-06-02 19:47:55,136.15,mada,medium_basket,beverages
MINI-20250602-0163,2025-06-02 19:51:30,49.51,cash,medium_basket,groceries
MINI-20250602-0164,2025-06-02 19:52:55,325.32,mada,large_basket,beverages
MINI-20250602-0165,2025-06-02 19:54:39,377.2,mada,large_basket,beverages
MINI-20250602-0166,2025-06-02 19:57:28,48.15,mada,medium_basket,beverages
MINI-20250602-0167,2025-06-02 20:17:19,15.03,cash,small_basket,beverages
MINI-20250602-0168,2025-06-02 20:18:36,13.98,cash,small_basket,household
MINI-20250602-0169,2025-06-02 20:19:53,74.74,cash,medium_basket,snacks
MINI-20250602-0170,2025-06-02 20:22:55,15.8,cash,small_basket,groceries
MINI-20250602-0171,2025-06-02 20:26:35,11.72,mada,small_basket,beverages
MINI-20250602-0172,2025-06-02 20:35:14,40.25,cash,small_basket,beverages
MINI-20250602-0173,2025-06-02 20:39:55,32.78,mada,small_basket,personal_care
MINI-20250602-0174,2025-06-02 20:59:39,135.7,mada,medium_basket,personal_care
MINI-20250602-0175,2025-06-02 21:02:32,12.13,mada,small_basket,snacks
MINI-20250602-0176,2025-06-02 21:05:38,38.19,mada,small_basket,beverages
MINI-20250602-0177,2025-06-02 21:20:55,66.45,cash,medium_basket,household
MINI-20250602-0178,2025-06-02 21:23:24,121.4,mada,medium_basket,beverages
MINI-20250602-0179,2025-06-02 21:28:40,19.39,credit,small_basket,beverages
MINI-20250602-0180,2025-06-02 21:28:58,122.47,mada,medium_basket,beverages
MINI-20250602-0181,2025-06-02 21:32:38,63.68,cash,medium_basket,beverages
MINI-20250602-0182,2025-06-02 21:37:22,27.23,mada,small_basket,groceries
MINI-20250602-0183,2025-06-02 21:39:40,166.43,cash,medium_basket,personal_care
MINI-20250602-0184,2025-06-02 21:48:57,426.41,mada,large_basket,beverages
MINI-20250602-0185,2025-06-02 21:51:39,26.74,credit,small_basket,groceries
MINI-20250602-0186,2025-06-02 21:53:40,131.99,mada,medium_basket,groceries
MINI-20250602-0187,2025-06-02 21:54:18,14.96,cash,small_basket,beverages
MINI-20250602-0188,2025-06-02 21:58:33,63.15,cash,medium_basket,groceries
